0		3 
1		3 72 
3		3 87 88 89 
2		3 87 15 
3		3 30 69 70 
4		3 72 71 84 76 
5		3 87 35 85 31 32 
4		3 2 95 93 94 
2		3 64 61 
4		3 64 61 14 19 
5		3 0 113 114 12 105 
4		3 2 95 102 101 
3		3 0 7 6 
3		3 0 49 50 
3		3 0 113 114 
3		3 2 1 43 

1		72 3 
0		72 
3		72 87 88 89 
2		72 87 15 
3		72 71 69 70  
3		72 71 84 76 
4		72 71 84 9 32 
5		72 87 2 95 93 94 
3		72 3 64 61 
4		72 71 84 82 19 
6		72 3 0 113 114 12 105 
5		72 87 2 95 102 101 
4		72 3 0 7 6 
4		72 3 0 49 50 
4		72 3 0 113 114 
4		72 87 2 1 43 

3		89 88 87 3 
3		89 88 87 72 
0		89 
3		89 88 87 15 
4		89 86 71 69 70 
3		89 10 84 76 
3		89 85 31 32 
4		89 85 31 97 94 
5		89 88 87 3 64 61 
3		89 10 9 19 
5		89 85 31 97 28 105 
5		89 85 31 97 103 101 
6		89 88 87 3 0 7 6 
6		89 88 87 3 0 49 50 
6		89 88 87 2 1 113 114 
5		89 88 87 2 1 43 

2		15 87 3 
2		15 87 72 
3		15 87 88 89 
0		15 
5		15 87 73 71 69 70 
5		15 87 73 71 84 76 
4		15 18 17 31 32 
3		15 16 93 94 
4		15 87 3 64 61 
6		15 87 73 71 84 82 19 
6		15 2 1 43 117 116 105 
4		15 2 95 102 101 
5		15 87 3 0 7 6 
5		15 2 1 113 112 50 
4		15 2 1 113 114 
3		15 2 1 43 

3		70 66 64 3 
3		70 69 71 72 
4		70 69 71 86 89 
5		70 69 71 73 87 15 
0		70 
3		70 69 77 76 
5		70 69 75 84 9 32 
6		70 65 63 14 11 97 94 
2		70 65 61 
4		70 65 63 33 19 
5		70 65 63 14 11 105 
6		70 66 64 0 1 102 101 
5		70 65 61 27 58 6 
5		70 66 64 0 49 50 
5		70 66 64 0 113 114 
5		70 66 64 0 1 43 

4		76 84 71 72 3 
3		76 84 71 72 
3		76 84 10 89 
5		76 84 71 73 87 15 
3		76 77 69 70 
0		76 
3		76 84 9 32 
5		76 82 19 81 97 94 
4		76 77 29 65 61 
2		76 82 19 
4		76 82 19 11 105 
5		76 82 19 11 28 101 
6		76 82 19 14 27 58 6 
5		76 82 19 11 12 50 
5		76 82 19 11 12 114 
7		76 82 19 11 105 116 117 43 

5		32 31 85 35 87 3 
4		32 9 10 71 72 
3		32 31 85 89 
4		32 31 17 18 15 
5		32 9 10 71 69 70 
3		32 9 82 76 
0		32 
2		32 97 94 
4		32 81 19 14 61 
2		32 81 19 
3		32 97 28 105 
3		32 97 103 101 
6		32 81 19 14 27 58 6 
4		32 97 11 12 50 
4		32 97 11 12 114 
5		32 97 28 104 41 43 

4		94 93 95 2 3 
5		94 90 17 35 87 72 
4		94 97 31 85 89 
3		94 93 16 15 
6		94 97 11 14 63 65 70 
5		94 97 81 19 82 76 
2		94 97 32 
0		94 
4		94 97 11 14 61 
3		94 97 81 19 
3		94 97 28 105 
3		94 97 103 101 
6		94 97 11 14 27 58 6 
4		94 97 11 12 50 
4		94 97 11 12 114 
4		94 93 95 1 43 

2		61 64 3 
3		61 64 3 72 
5		61 64 3 87 88 89 
4		61 64 3 87 15 
2		61 65 70 
4		61 14 19 82 76 
4		61 14 11 97 32 
4		61 14 11 97 94 
0		61 
2		61 14 19 
3		61 14 11 105 
4		61 14 11 28 101 
3		61 27 58 6 
4		61 27 13 52 50 
4		61 64 0 113 114 
4		61 64 0 1 43 

4		19 14 61 64 3 
4		19 82 84 71 72 
3		19 9 10 89 
6		19 9 10 89 88 87 15 
4		19 33 63 65 70 
2		19 82 76 
2		19 81 32 
3		19 81 97 94 
2		19 14 61 
0		19 
2		19 11 105 
3		19 11 28 101 
4		19 14 27 58 6 
3		19 11 12 50 
3		19 11 12 114 
5		19 11 105 116 117 43 

5		105 11 14 61 64 3 
6		105 11 19 82 84 71 72 
5		105 28 97 31 85 89 
6		105 28 97 90 17 18 15 
5		105 11 14 63 65 70 
4		105 11 19 82 76 
3		105 28 97 32 
3		105 28 97 94 
3		105 11 14 61 
2		105 11 19 
0		105 
2		105 28 101 
4		105 12 13 58 6 
2		105 12 50 
2		105 12 114 
3		105 116 117 43 

4		101 102 95 2 3 
5		101 102 95 2 87 72 
5		101 103 97 31 85 89 
4		101 102 95 2 15 
6		101 102 1 0 64 66 70 
5		101 28 11 19 82 76 
3		101 103 97 32 
3		101 103 97 94 
4		101 28 11 14 61 
3		101 28 11 19 
2		101 28 105 
0		101 
5		101 102 1 0 7 6 
4		101 104 116 12 50 
4		101 104 116 117 114 
3		101 104 41 43 

3		6 7 0 3 
4		6 7 0 3 72 
6		6 7 0 3 87 88 89 
5		6 7 0 3 87 15 
5		6 7 60 64 66 70 
6		6 58 27 14 19 82 76 
6		6 58 27 14 11 97 32 
6		6 58 27 14 11 97 94 
3		6 7 60 61 
4		6 58 27 14 19 
4		6 58 13 12 105 
5		6 7 0 1 102 101 
0		6 
3		6 5 49 50 
4		6 5 49 113 114 
4		6 7 0 1 43 

3		50 49 0 3 
4		50 49 0 3 72 
6		50 49 0 3 87 88 89 
5		50 49 0 3 87 15 
5		50 49 0 64 66 70 
5		50 12 11 19 82 76 
4		50 12 11 97 32 
4		50 12 11 97 94 
4		50 49 0 64 61 
3		50 12 11 19 
2		50 12 105 
4		50 12 116 104 101 
3		50 49 5 6 
0		50 
2		50 112 114 
4		50 12 116 117 43 

3		114 113 0 3 
4		114 113 0 3 72 
6		114 113 0 3 87 88 89 
4		114 113 1 2 15 
5		114 113 0 64 66 70 
5		114 12 11 19 82 76 
4		114 12 11 97 32 
4		114 12 11 97 94 
